sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Institutional Characteristics Data File, 2021-22",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,IC2021
Introduction,4,  Provisional release:,August 2022
Introduction,5,Filename,IC2021_RV
Introduction,6,  Final/revised release:,September  2023
Introduction,7,,
Introduction,8,Overview,"This file contains data on program and award level offerings, control and affiliation of institution. It also contains information on special learning opportunities, student services, disability services, tuition plans and athletic conference associations. Services and programs for service members and veterans are also included. Beginning in  2020-21, the less-than-1-year certificate award level is divided into the following two award levels: certificates of less-than-12-weeks and certificates of at least 12 weeks but less than 1 year. 

Several variables in this release, including open admissions policy, distance education offerings and library services were updated based on admissions data collected in the winter collection, distance education fall enrollments and academic library data collected in the spring of the IPEDS survey year. 

Admissions and test score data, which has been part of the Institutional Characteristics survey component since 2001-02, was moved to the new ADM survey component in 2014 and will be released with other survey components of the IPEDS winter collection module.

",,,,,,,,
Introduction,9,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look web tables based on provisional data. ",,,,,,,,
varlist,57,10776,YRSCOLL,N,2,Disc,,Years of college-level work required
varlist,58,10781,STUSRV1,N,2,Disc,,Remedial services
varlist,59,10786,STUSRV2,N,2,Disc,,Academic/career counseling service
varlist,60,10791,STUSRV3,N,2,Disc,,Employment services for students
varlist,61,10796,STUSRV4,N,2,Disc,,Placement services for completers
varlist,62,10801,STUSRV8,N,2,Disc,,On-campus day care for students' children
varlist,63,10806,STUSRV9,N,2,Disc,,None of the above selected services are offered
varlist,64,16151,LIBRES1,N,2,Disc,,Library resources/services: Physical facilities
varlist,65,16153,LIBRES2,N,2,Disc,,Library resources/services: Organized collection of printed materials
varlist,66,16155,LIBRES3,N,2,Disc,,Library resources/services: Access to digital/electronic resources
varlist,67,16157,LIBRES4,N,2,Disc,,Library resources/services: Staff trained to provide and interpret library materials
varlist,68,16159,LIBRES5,N,2,Disc,,Library resources/services: Established library hours
varlist,69,16161,LIBRES6,N,2,Disc,,Library resources/services: Access to library collections that are shared with other institutions
varlist,70,16163,LIBRES9,N,2,Disc,,Library resources/services not provided
varlist,71,15241,TUITPL,N,2,Disc,,Any alternative tuition plans offered by institution
varlist,72,15244,TUITPL1,N,2,Disc,,Tuition guaranteed plan
varlist,73,15247,TUITPL2,N,2,Disc,,Prepaid tuition plan
varlist,74,15250,TUITPL3,N,2,Disc,,Tuition payment plan
varlist,75,15253,TUITPL4,N,2,Disc,,Other alternative tuition plan
varlist,76,15421,DSTNUGC,N,2,Disc,,Undergraduate level distance education courses offered
varlist,77,15426,DSTNUGP,N,2,Disc,,Undergraduate level distance education programs offered
varlist,78,15431,DSTNUGN,N,2,Disc,,Undergraduate level distance education not offered
varlist,79,15436,DSTNGC,N,2,Disc,,Graduate level distance education courses offered
varlist,80,15441,DSTNGP,N,2,Disc,,Graduate level distance education programs offered
varlist,81,15446,DSTNGN,N,2,Disc,,Graduate level distance education not offered
varlist,82,15400,DISTCRS,N,2,Disc,,Distance education courses offered
varlist,83,15451,DISTPGS,N,2,Disc,,Distance education programs offered
varlist,84,15406,DSTNCED1,N,2,Disc,,Undergraduate level programs or courses are offered via distance education
varlist,85,15411,DSTNCED2,N,2,Disc,,Graduate level programs or courses are offered via distance education
varlist,86,15416,DSTNCED3,N,2,Disc,,Does not offer distance education opportunities
varlist,87,15401,DISTNCED,N,2,Disc,,All programs offered completely via distance education
varlist,88,24566,DISAB,N,2,Disc,,Percent indicator of undergraduates formally registered as students with disabilities
varlist,89,24571,DISABPCT,N,3,Cont,XDISABPC,"Percent of undergraduates, who are formally registered as students with disabilities, when percentage is more than 3 percent"
varlist,90,15066,ALLONCAM,N,2,Disc,,"Full-time, first-time degree/certificate-seeking students required to live on campus"
varlist,91,10961,TUITVARY,N,2,Disc,,"Tuition charge varies for in-district, in-state, out-of-state students"
varlist,92,10966,ROOM,N,2,Disc,,Institution provide on-campus housing
varlist,93,10971,ROOMCAP,N,5,Cont,XROOMCAP,Total dormitory capacity
varlist,94,10976,BOARD,N,2,Disc,,Institution provides board or meal plan
varlist,95,10981,MEALSWK,N,2,Cont,XMEALSWK,Number of meals per week in board charge
varlist,96,10986,ROOMAMT,N,5,Cont,XROOMAMT,Typical room charge for academic year
varlist,97,10991,BOARDAMT,N,5,Cont,XBORDAMT,Typical board charge for academic year
varlist,98,10996,RMBRDAMT,N,5,Cont,XRMBDAMT,Combined charge for room and board
varlist,99,10911,APPLFEEU,N,3,Cont,XAPPFEEU,Undergraduate application fee
varlist,100,10916,APPLFEEG,N,3,Cont,XAPPFEEG,Graduate application fee
varlist,101,10816,ATHASSOC,N,2,Disc,,Member of National Athletic Association
varlist,102,10821,ASSOC1,N,2,Disc,,Member of National Collegiate Athletic Association (NCAA)
varlist,103,10826,ASSOC2,N,2,Disc,,Member of National Association of Intercollegiate Athletics (NAIA)
varlist,104,10831,ASSOC3,N,2,Disc,,Member of National Junior College Athletic  Association (NJCAA)
varlist,105,10836,ASSOC4,N,2,Disc,,Member of National Small College Athletic Association (NSCAA)
varlist,106,10841,ASSOC5,N,2,Disc,,Member of National Christian College Athletic Association (NCCAA)
varlist,107,10846,ASSOC6,N,2,Disc,,Member of other national athletic association not listed above
varlist,108,10851,SPORT1,N,2,Disc,,NCAA/NAIA member for football
varlist,109,10856,CONFNO1,N,3,Disc,,NCAA/NAIA conference number football
varlist,110,10861,SPORT2,N,2,Disc,,NCAA/NAIA member for basketball
varlist,111,10866,CONFNO2,N,3,Disc,,NCAA/NAIA conference number basketball
varlist,112,10871,SPORT3,N,2,Disc,,NCAA/NAIA member for baseball
varlist,113,10876,CONFNO3,N,3,Disc,,NCAA/NAIA conference number baseball
varlist,114,10881,SPORT4,N,2,Disc,,NCAA/NAIA member for cross country/track
varlist,115,10886,CONFNO4,N,3,Disc,,NCAA/NAIA conference number cross country/track
varlist,116,,,,,,,
varlist,117,,,,,,,
varlist,118,,,,,,,
varlist,119,,,,,,,
varlist,120,,,,,,,
varlist,121,,,,,,,
varlist,122,,,,,,,
varlist,123,,,,,,,
varlist,124,,,,,,,
varlist,125,,,,,,,
varlist,126,,,,,,,
varlist,127,,,,,,,
varlist,128,,,,,,,
varlist,129,,,,,,,
varlist,130,,,,,,,
varlist,131,,,,,,,
varlist,132,,,,,,,
varlist,133,,,,,,,
varlist,134,,,,,,,
varlist,135,,,,,,,
varlist,136,,,,,,,
varlist,137,,,,,,,
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,10361,PEO1ISTR,"Which of the following types of instruction/programs are offered by your institution? [Check one or more]

Occupational, may lead to a certificate, degree, or other formal award 

OCCUPATIONAL PROGRAM - A program of study consisting of one or more courses, designed to provide the student with sufficient knowledge and skills to perform in a specific occupation.

NOTE: This question is asked to verify the inclusion of the institution on the NCES/IPEDS list of institutions and agencies offering all types of postsecondary education. Postsecondary education is the provision of a formal instructional program whose curriculum is designed primarily for students beyond the compulsory age for high school. This includes programs whose purpose is academic, vocational, and continuing professional education and excludes avocational and adult basic education programs."
Description,3,10366,PEO2ISTR,"Which of the following types of instruction/programs are offered by your institution? [Check one or more]

Academic, leading to a certificate, degree, or diploma

ACADEMIC PROGRAM - Instructional program leading toward an associate's, bachelor's, master's, doctor's, or first-professional degree or resulting in credits that can be applied to one of these degrees. 

NOTE: This question is asked to verify the inclusion of the institution on the NCES/IPEDS list of institutions and agencies offering all types of postsecondary education. Postsecondary education is the provision of a formal instructional program whose curriculum is designed primarily for students beyond the compulsory age for high school. This includes programs whose purpose is academic, vocational, and continuing professional education and excludes avocational and adult basic education programs."
Description,4,10371,PEO3ISTR,"Which of the following types of instruction/programs are offered by your institution? [Check one or more]

Continuing professional (postbaccalaureate only) 

CONTINUING PROFESSIONAL EDUCATION - Programs and courses designed specifically for individuals who have completed a professional degree (such as law, medicine, dentistry, or social work) to obtain additional training in their particular field of study 

NOTE: This question is asked to verify the inclusion of the institution on the NCES/IPEDS list of institutions and agencies offering all types of postsecondary education. Postsecondary education is the provision of a formal instructional program whose curriculum is designed primarily for students beyond the compulsory age for high school. This includes programs whose purpose is academic, vocational, and continuing professional education and excludes avocational and adult basic education programs."
Description,5,10376,PEO4ISTR,"Which of the following types of instruction/programs are offered by your institution? [Check one or more]

Recreational or avocational

AVOCATIONAL PROGRAMS - Instructional programs in personal interest and leisure categories whose expressed intent is not to produce postsecondary credits, nor to lead to a formal award or an academic degree, nor result in occupationally specific skills.

NOTE: This question is asked to verify the inclusion of the institution on the NCES/IPEDS list of institutions and agencies offering all types of postsecondary education. Postsecondary education is the provision of a formal instructional program whose curriculum is designed primarily for students beyond the compulsory age for high school. This includes programs whose purpose is academic, vocational, and continuing professional education and excludes avocational and adult basic education programs."
Description,6,10381,PEO5ISTR,"Which of the following types of instruction/programs are offered by your institution? [Check one or more]

Adult basic or remedial instruction or high school equivalency 

ADULT BASIC EDUCATION - Courses designed primarily for students 16 years of age and older to improve basic skills in reading, writing, and arithmetic. These courses are not intended to be part of a program leading to a high school degree, nor are they part of any academic, occupational, or vocational program at the postsecondary level. 

NOTE: This question is asked to verify the inclusion of the institution on the NCES/IPEDS list of institutions and agencies offering all types of postsecondary education. Postsecondary education is the provision of a formal instructional program whose curriculum is designed primarily for students beyond the compulsory age for high school. This includes programs whose purpose is academic, vocational, and continuing professional education and excludes avocational and adult basic education programs."
Description,7,10386,PEO6ISTR,"Which of the following types of instruction/programs are offered by your institution? [Check one or more]

Secondary (high school)

NOTE: This question is asked to verify the inclusion of the institution on the NCES/IPEDS list of institutions and agencies offering all types of postsecondary education. Postsecondary education is the provision of a formal instructional program whose curriculum is designed primarily for students beyond the compulsory age for high school. This includes programs whose purpose is academic, vocational, and continuing professional education and excludes avocational and adult basic education programs."
Description,8,10391,CNTLAFFI,"What is your institutional control or affiliation? Select one;

Public
Private for-profit 
Private not-for-profit independent (no religious affiliation) 
Private not-for-profit religious affiliation - Specify 

PUBLIC INSTITUTION -An educational institution whose programs and activities are operated by publicly elected or appointed school officials and which is supported primarily by public funds. 
PRIVATE FOR-PROFIT (PROFIT-MAKING) INSTITUTION - A private institution in which the individual(s) or agency in control receives compensation other than wages, rent, or other expenses for the assumption of risk. 
PRIVATE NOT-FOR-PROFIT INSTITUTION - A private institution in which the individual(s) or agency in control receives no compensation, other than wages, rent, or other expenses for the assumption of risk. These include both independent nonprofit schools and those affiliated with a religious organization."
Description,9,10396,PUBPRIME,"Indicates primary control for public institutions

Public institutions must designate a primary control; identifying a secondary control is optional. 

PUBLIC INSTITUTION -An educational institution whose programs and activities are operated by publicly elected or appointed school officials and which is supported primarily by public funds."
Description,10,10401,PUBSECON,"Indicates secondary control for public institutions

Public institutions must designate a primary control; identifying a secondary control is optional. 

PUBLIC INSTITUTION -An educational institution whose programs and activities are operated by publicly elected or appointed school officials and which is supported primarily by public funds."
Description,11,10406,RELAFFIL,Indicates religious affiliation (denomination) for private not-for-profit institutions that are religiously affiliated.
Description,12,10411,LEVEL1,"What award levels are offered by your institution?  [Check all that apply] 

Postsecondary award, certificate, or diploma of less than 900 clock hours, or 30 semester or trimester credit hours, or 45 quarter credit hours (less than 1 year)

An award that requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) designed for completion less than 900 clock hours, or  less 30 semester or trimester credit hours, or less than 45 quarter credit hours. Beginning in 2020-21, this award level category was removed from the data collection, but is being maintained if institution has postsecondary awards, certificates, or diplomas (less than 300 clock hours, 9 semester or trimester credit hours, or 13 quarter credit hours) or (300-899 clock hours, 9-29 semester or trimester credit hours, or 13-44 quarter credit hours)"
Description,13,10412,LEVEL1A,"What award levels are offered by your institution? [Check all that apply] 

Postsecondary award, certificate, or diploma  of less than 300 clock hours, 9 semester or trimester credit hours, or 13 quarter credit hours  (less than 12 weeks)

An award that requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) designed for completion in less than 300 clock hours, or in less than 9 semester or trimester credit hours, or less than 13 quarter credit hours. Beginning in 2020-21, this award level category was one of two added options for reporting certificates of less than one year in length."
Description,14,10413,LEVEL1B,"What award levels are offered by your institution? [Check all that apply]

Postsecondary award, certificate, or diploma of  300-899 clock hours, or 9-29 semester or trimester credit hours, or13-44 quarter credit hours (at least 12 weeks, but less than 1 year)

An award that requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) designed for completion in at least 300 but less than 900 clock hours, or in at least 9 but less 30 semester or trimester credit hours, or in at least 13 but less than 45 quarter credit hours. Beginning in 2020-21, this award level category was one of two added options for reporting certificates of less than one year in length."
Description,15,10416,LEVEL2,"What award levels are offered by your institution? [Check all that apply] 

Postsecondary award, certificate, or diploma of at least 900 but less than 1,800 clock hours, or at least 30 but less than 60 semester or trimester credit hours, or at least 45 but less than 90 quarter credit hours (at least 1 year but less than 2 years)

POSTSECONDARY AWARD, CERTIFICATE, OR DIPLOMA (AT LEAST 1 BUT LESS THAN 2 YEARS) -Requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) in at least 1 but less than 2 full-time equivalent academic years, or designed for completion in at least 30 but less than 60 credit hours, or in at least 900 but less than 1,800 clock hours.  Beginning in 2020-21, references to academic year equivalencies were removed from all levels of subbaccalaureate certificates."
Description,16,10421,LEVEL3,"What award levels are offered by your institution? 

Associate's degree 

ASSOCIATE'S DEGREE - An award that normally requires at least 2 but less than 4 years of full-time equivalent college work."
Description,17,10426,LEVEL4,"What award levels are offered by your institution? 

Postsecondary award, certificate, or diploma of 1,800 or more clock hours, or 60 or more semester or trimester credit hours, or 90 or more quarter credit hours (at least 2 but less than 4 years)

An award that requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) designed for completion in at least 900 but less than 1,800 clock hours, or in at least 30 but less than 60 semester or trimester credit hours, or in at least 45 but less than 90 quarter credit hours. Beginning in 2020-21, references to academic year equivalencies were removed from all levels of subbaccalaureate certificates."
Description,18,10431,LEVEL5,"What award levels are offered by your institution? [Check all that apply] 

Bachelor's degree or equivalent 

BACHELOR'S DEGREE - An award (baccalaureate or equivalent degree, as determined by the Secretary, U.S. Department of Education) that normally requires at least 4 but not more than 5 years of full-time equivalent college-level work. This includes all bachelor's degrees conferred in a 5-year cooperative (work-study plan) program. A cooperative plan provides for alternate class attendance and employment in business, industry, or government; thus, it allows students to combine actual work experience with their college studies. Also, includes bachelor's degrees in which the normal 4 years of work are completed in 3 years."
Description,19,10436,LEVEL6,"What award levels are offered by your institution? [Check all that apply]

Postbaccalaureate certificate 

POSTBACCALAUREATE CERTIFICATE - An award that requires completion of an organized program of study requiring 18 credit hours beyond the bachelor's; designed for persons who have completed a baccalaureate degree, but do not meet the requirements of academic degrees carrying the title of master."
Description,20,10441,LEVEL7,"What award levels are offered by your institution? [Check all that apply] 

Master's degree 

MASTER'S DEGREE - An award that requires the successful completion of a program of study of at least the full-time equivalent of 1 but not more than 2 academic years of work beyond the bachelor's degree."
Description,21,10446,LEVEL8,"What award levels are offered by your institution? [Check all that apply] 

Post-master's certificate

POST-MASTER'S CERTIFICATE - An award that requires completion of an organized program of study of 24 credit hours beyond the master's degree, but does not meet the requirements of academic degrees at the doctor's level."
Description,22,10466,LEVEL12,"What award levels are offered by your institution? [Check all that apply] 

Other; please specify 

An award that it cannot be classified in one of the standard levels ."
Description,23,10452,LEVEL17,"What award levels are offered by your institution? [Check all that apply] 

Doctor’s degree - research/scholarship

Doctor’s degree - research/scholarship - A Ph.D. or other doctor's degree that requires advanced work beyond the master’s level, including the preparation and defense of a dissertation based on original research, or the planning and execution of an original project demonstrating substantial artistic or scholarly achievement. Some examples of this type of degree may include Ed.D., D.M.A., D.B.A., D.Sc., D.A., or D.M, and others, as designated by the awarding institution."
Description,24,10453,LEVEL18,"What award levels are offered by your institution? [Check all that apply] 

Doctor’s degree - professional practice

Doctor’s degree - professional practice - A doctor’s degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as “first-professional” and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution."
Description,25,10454,LEVEL19,"What award levels are offered by your institution? [Check all that apply] 

Doctor’s degree - other

Doctor’s degree - other - A doctor’s degree that does not meet the definition of a doctor’s degree - research/scholarship or a doctor’s degree - professional practice."
Description,26,10901,CALSYS,"What is the predominant calendar system at the institution? [Choose one] 

Standard academic terms Checking one of these systems determines that your institution will provide graduation rates data based on a FALL COHORT and student charges based on a FULL ACADEMIC YEAR 

Semester 
Quarter 
Trimester 
4-1-4 or similar plan 
Other academic calendar 

Other calendar systems (for primarily occupational schools) Checking one of the following determines that your institution will provide graduation rates data based on a FULL YEAR COHORT and student charges data will be requested by PROGRAM. 

Differs by program 
Continuous basis (every 2 weeks, monthly, or other period) 


SEMESTER calendar SYSTEM -A calendar system that consists of two semesters during the academic year with about 16 weeks for each semester of instruction. There may be an additional summer session. 

QUARTER calendar SYSTEM - A calendar system in which the academic year consists of 3 sessions called quarters of about 12 weeks each. The range may be from 10 to 15 weeks. There may be an additional quarter in the summer 

TRIMESTER calendar SYSTEM - An academic year consisting of 3 terms of about 15 weeks each. 
FOUR-ONE-FOUR PLAN - The 4-1-4 calendar consists of 4 courses taken for 4 months, 1 course taken for 1 month, and 4 courses taken for 4 months. There may be an additional summer session. 

OTHER ACADEMIC calendar SYSTEM - 
Category used to describe ""non-traditional"" calendar systems at 4-year and 2-year degree-granting institutions. These can include schools that offer primarily on-line courses or ""one course at a time"". 

DIFFERS BY PROGRAM (calendar SYSTEM) - A calendar system classification that is used by institutions that have occupational/vocational programs of varying lengths. These schools may enroll students at specific times depending on the program desired. For example, a school might offer a 2-month program in January, March, May, September, and November; and a 3-month program in January, April, and October. 

CONTINUOUS BASIS (FOR PROGRAM ENROLLMENT) - A calendar system classification that is used by institutions that enroll students at any time during the academic year. For example, a cosmetology school or a word processing school might allow students to enroll and begin studies at various times, with no requirement that classes begin on a certain date."
Description,27,10926,FT_UG,"If institution enrolls full-time students, indicate levels 

Undergraduate (academic or occupational programs) 

UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
FULL-TIME STUDENT Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term."
Description,28,10931,FT_FTUG,"If institution enrolls full-time students, indicate levels 

First-time degree/certificate-seeking undergraduate

FIRST-TIME STUDENT (UNDERGRADUATE) -A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 
UNDERGRADUATE - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. 
FULL-TIME STUDENT Undergraduate - A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. 
DEGREE/CERTIFICATE-SEEKING STUDENTS - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
